#  tau(fm)  epsilon_p(ideal)(cos)  epsilon_p(ideal)(sin)  epsilon_p(shear)(cos)  epsilon_p(shear)(sin)  epsilon_p(full)(cos)  epsilon_p(full)(sin)  epsilon_2p(ideal)(cos)  epsilon_2p(ideal)(sin)  epsilon_2p(shear)(cos)  epsilon_2p(shear)(sin)  epsilon_2p(full)(cos)  epsilon_2p(full)(sin)  epsilon_3p(ideal)(cos)  epsilon_3p(ideal)(sin)  epsilon_3p(shear)(cos)  epsilon_3p(shear)(sin)  epsilon_3p(full)(cos)  epsilon_3p(full)(sin)
9.800000e-01  -3.680477e-04  2.114197e-03  2.033261e-04  1.554144e-04  2.034270e-04  9.861161e-05  -7.374721e-03  3.135669e-02  -7.917730e-03  3.075177e-02  -8.429654e-03  3.060181e-02  3.275777e-02  4.682827e-04  3.348259e-02  -1.040557e-03  3.430882e-02  -1.335182e-03
9.950000e-01  -1.259220e-04  2.156056e-03  2.480510e-04  1.212290e-04  2.461594e-04  5.108692e-05  -1.914255e-03  2.822690e-02  -2.360144e-03  2.750240e-02  -2.827697e-03  2.722207e-02  2.935383e-02  6.835291e-03  3.029470e-02  5.279265e-03  3.108350e-02  5.035454e-03
1.010000e+00  6.329348e-05  2.230802e-03  2.259622e-04  1.531068e-04  2.217386e-04  7.070148e-05  4.435514e-03  2.647616e-02  4.129266e-03  2.561145e-02  3.777576e-03  2.518513e-02  2.523341e-02  1.173123e-02  2.637221e-02  1.019946e-02  2.709301e-02  1.009247e-02
1.025000e+00  3.756942e-04  2.226651e-03  3.461209e-04  1.229316e-04  3.523707e-04  2.792744e-05  1.186020e-02  2.527321e-02  1.162711e-02  2.433022e-02  1.134742e-02  2.381589e-02  2.245167e-02  1.457117e-02  2.362780e-02  1.318753e-02  2.427816e-02  1.319311e-02
1.040000e+00  7.144545e-04  2.189818e-03  4.115512e-04  1.079610e-04  4.187417e-04  5.214814e-06  1.961973e-02  2.405053e-02  1.942542e-02  2.312342e-02  1.920971e-02  2.253533e-02  2.095251e-02  1.693712e-02  2.197543e-02  1.563886e-02  2.249428e-02  1.576851e-02
1.055000e+00  8.780966e-04  1.999301e-03  2.926106e-04  -5.402310e-06  2.871105e-04  -1.193304e-04  2.418804e-02  2.117471e-02  2.392549e-02  2.029190e-02  2.382100e-02  1.966299e-02  1.928713e-02  1.969774e-02  2.012860e-02  1.842232e-02  2.050527e-02  1.860033e-02
1.070000e+00  1.214157e-03  1.731064e-03  3.885096e-04  -1.343613e-04  3.837724e-04  -2.562809e-04  2.716497e-02  1.753187e-02  2.695567e-02  1.669399e-02  2.681361e-02  1.604690e-02  1.626546e-02  2.187547e-02  1.699962e-02  2.062353e-02  1.727832e-02  2.085668e-02
1.085000e+00  1.676413e-03  1.257253e-03  5.292345e-04  -4.000577e-04  5.204681e-04  -5.311394e-04  3.084169e-02  1.336547e-02  3.064240e-02  1.260571e-02  3.036438e-02  1.206959e-02  1.376801e-02  2.215144e-02  1.450576e-02  2.089561e-02  1.467717e-02  2.123521e-02
1.100000e+00  1.942279e-03  7.937716e-04  4.086437e-04  -5.412408e-04  3.688481e-04  -6.685536e-04  3.380631e-02  8.198996e-03  3.356120e-02  7.586345e-03  3.317660e-02  7.144614e-03  1.217854e-02  2.155145e-02  1.277054e-02  2.025620e-02  1.283090e-02  2.068123e-02
1.115000e+00  2.072882e-03  4.086366e-04  2.569191e-04  -6.061208e-04  1.939780e-04  -7.275357e-04  3.637394e-02  3.120545e-03  3.615173e-02  2.561587e-03  3.579903e-02  2.132231e-03  1.105336e-02  2.243043e-02  1.135290e-02  2.122067e-02  1.135661e-02  2.172904e-02
1.130000e+00  2.249789e-03  1.014284e-04  1.891229e-04  -6.017393e-04  1.137503e-04  -7.147521e-04  4.065151e-02  -2.180840e-03  4.030193e-02  -2.699665e-03  4.001720e-02  -3.173122e-03  9.124208e-03  2.337870e-02  9.226155e-03  2.229992e-02  9.201439e-03  2.289504e-02
1.145000e+00  2.492713e-03  -1.534899e-04  1.683408e-04  -5.657748e-04  8.126333e-05  -6.667469e-04  4.565575e-02  -6.846350e-03  4.513449e-02  -7.292865e-03  4.486574e-02  -7.792974e-03  8.165003e-03  2.567806e-02  8.131852e-03  2.475825e-02  8.125477e-03  2.541756e-02
