#  tau(fm)  epsilon_p(ideal)(cos)  epsilon_p(ideal)(sin)  epsilon_p(shear)(cos)  epsilon_p(shear)(sin)  epsilon_p(full)(cos)  epsilon_p(full)(sin)  epsilon_2p(ideal)(cos)  epsilon_2p(ideal)(sin)  epsilon_2p(shear)(cos)  epsilon_2p(shear)(sin)  epsilon_2p(full)(cos)  epsilon_2p(full)(sin)  epsilon_3p(ideal)(cos)  epsilon_3p(ideal)(sin)  epsilon_3p(shear)(cos)  epsilon_3p(shear)(sin)  epsilon_3p(full)(cos)  epsilon_3p(full)(sin)
8.850000e-01  3.759643e-03  -4.885645e-03  -1.140069e-04  1.614347e-04  -2.650211e-04  2.812523e-04  2.769051e-02  -5.776824e-02  2.563085e-02  -5.646487e-02  2.482901e-02  -5.651359e-02  -4.029583e-02  -1.707550e-02  -4.037287e-02  -1.552034e-02  -4.099417e-02  -1.505201e-02
9.000000e-01  4.124797e-03  -5.028835e-03  -1.995388e-05  1.651490e-04  -1.858854e-04  2.973312e-04  2.908273e-02  -5.568070e-02  2.694584e-02  -5.426003e-02  2.609513e-02  -5.428842e-02  -3.925389e-02  -1.591434e-02  -3.939562e-02  -1.421608e-02  -4.005984e-02  -1.369927e-02
9.150000e-01  4.497354e-03  -5.163899e-03  8.501341e-05  1.530402e-04  -9.663824e-05  2.980326e-04  3.047633e-02  -5.361760e-02  2.827892e-02  -5.206650e-02  2.737751e-02  -5.206792e-02  -3.809229e-02  -1.459300e-02  -3.831905e-02  -1.272722e-02  -3.902461e-02  -1.215812e-02
9.300000e-01  4.874606e-03  -5.278134e-03  2.021431e-04  1.373410e-04  4.492333e-06  2.955203e-04  3.183156e-02  -5.144754e-02  2.958462e-02  -4.977200e-02  2.863089e-02  -4.974114e-02  -3.688749e-02  -1.340079e-02  -3.720401e-02  -1.137448e-02  -3.795023e-02  -1.075352e-02
9.450000e-01  5.265082e-03  -5.373833e-03  3.351408e-04  1.130418e-04  1.219161e-04  2.842764e-04  3.322460e-02  -4.919452e-02  3.093709e-02  -4.741190e-02  2.993200e-02  -4.734568e-02  -3.552138e-02  -1.239146e-02  -3.591056e-02  -1.024609e-02  -3.669669e-02  -9.573271e-03
9.600000e-01  5.661116e-03  -5.450711e-03  4.749850e-04  8.410173e-05  2.469000e-04  2.685761e-04  3.461000e-02  -4.679913e-02  3.227856e-02  -4.491043e-02  3.122446e-02  -4.480377e-02  -3.403277e-02  -1.122101e-02  -3.449760e-02  -8.970356e-03  -3.532343e-02  -8.240713e-03
9.750000e-01  6.054687e-03  -5.513884e-03  6.158873e-04  4.601046e-05  3.736048e-04  2.439167e-04  3.591930e-02  -4.432331e-02  3.354641e-02  -4.231957e-02  3.244586e-02  -4.216579e-02  -3.235104e-02  -1.000679e-02  -3.288582e-02  -7.656578e-03  -3.374892e-02  -6.870094e-03
9.900000e-01  6.453186e-03  -5.574923e-03  7.643969e-04  -3.756677e-06  5.089769e-04  2.073061e-04  3.730374e-02  -4.194692e-02  3.490415e-02  -3.982801e-02  3.376078e-02  -3.962516e-02  -3.056587e-02  -8.815218e-03  -3.115029e-02  -6.358600e-03  -3.204519e-02  -5.515120e-03
1.005000e+00  6.855834e-03  -5.620128e-03  9.161701e-04  -5.162647e-05  6.487879e-04  1.722520e-04  3.881481e-02  -3.960634e-02  3.639687e-02  -3.736296e-02  3.521490e-02  -3.711050e-02  -2.875565e-02  -7.565684e-03  -2.936275e-02  -5.017714e-03  -3.028734e-02  -4.114294e-03
1.020000e+00  7.262822e-03  -5.647667e-03  1.073745e-03  -9.683156e-05  7.954325e-04  1.396301e-04  4.042957e-02  -3.723142e-02  3.802831e-02  -3.485464e-02  3.681329e-02  -3.454996e-02  -2.704961e-02  -6.385341e-03  -2.767729e-02  -3.803588e-03  -2.863425e-02  -2.843220e-03
1.035000e+00  7.664344e-03  -5.669473e-03  1.225470e-03  -1.482306e-04  9.368423e-04  1.007089e-04  4.212319e-02  -3.495759e-02  3.976019e-02  -3.244226e-02  3.851511e-02  -3.208223e-02  -2.550675e-02  -5.277464e-03  -2.612545e-02  -2.668165e-03  -2.711746e-02  -1.652308e-03
1.050000e+00  8.051637e-03  -5.695375e-03  1.368782e-03  -2.109498e-04  1.070495e-03  4.998965e-05  4.378486e-02  -3.287212e-02  4.146807e-02  -3.022655e-02  4.019561e-02  -2.981093e-02  -2.410040e-02  -4.159307e-03  -2.468124e-02  -1.557829e-03  -2.570864e-02  -4.896349e-04
1.065000e+00  8.443366e-03  -5.717227e-03  1.518988e-03  -2.726106e-04  1.211991e-03  3.250148e-07  4.547950e-02  -3.086657e-02  4.321303e-02  -2.808981e-02  4.191693e-02  -2.761736e-02  -2.298986e-02  -2.956606e-03  -2.353988e-02  -3.775823e-04  -2.460567e-02  7.389516e-04
1.080000e+00  8.834068e-03  -5.727858e-03  1.669647e-03  -3.277654e-04  1.354872e-03  -4.291443e-05  4.718126e-02  -2.886607e-02  4.496615e-02  -2.595754e-02  4.364882e-02  -2.542817e-02  -2.229585e-02  -1.586734e-03  -2.283327e-02  9.609636e-04  -2.394099e-02  2.129506e-03
1.095000e+00  9.223496e-03  -5.745762e-03  1.821318e-03  -3.899613e-04  1.499991e-03  -9.377299e-05  4.888241e-02  -2.708994e-02  4.670693e-02  -2.405252e-02  4.537301e-02  -2.346593e-02  -2.190215e-02  -3.095800e-05  -2.245528e-02  2.472491e-03  -2.360389e-02  3.692932e-03
1.110000e+00  9.609970e-03  -5.774839e-03  1.970002e-03  -4.585279e-04  1.642545e-03  -1.518810e-04  5.053006e-02  -2.554891e-02  4.838970e-02  -2.238757e-02  4.704328e-02  -2.174589e-02  -2.175066e-02  1.615003e-03  -2.235288e-02  4.054390e-03  -2.354448e-02  5.327180e-03
1.125000e+00  9.993376e-03  -5.813394e-03  2.118857e-03  -5.293525e-04  1.785561e-03  -2.123014e-04  5.218823e-02  -2.411432e-02  5.008819e-02  -2.083758e-02  4.873129e-02  -2.014049e-02  -2.172889e-02  3.091036e-03  -2.237859e-02  5.469256e-03  -2.361126e-02  6.797770e-03
1.140000e+00  1.038192e-02  -5.852314e-03  2.276331e-03  -5.933245e-04  1.937817e-03  -2.665614e-04  5.385269e-02  -2.279367e-02  5.178933e-02  -1.942092e-02  5.042138e-02  -1.867173e-02  -2.190793e-02  4.691091e-03  -2.258282e-02  7.018333e-03  -2.385288e-02  8.405802e-03
1.155000e+00  1.076640e-02  -5.904182e-03  2.434428e-03  -6.634537e-04  2.090893e-03  -3.274865e-04  5.536944e-02  -2.169804e-02  5.333122e-02  -1.824424e-02  5.195023e-02  -1.744616e-02  -2.238642e-02  6.434462e-03  -2.307669e-02  8.743682e-03  -2.438683e-02  1.019092e-02
1.170000e+00  1.113656e-02  -5.969414e-03  2.584142e-03  -7.321007e-04  2.235434e-03  -3.863239e-04  5.672366e-02  -2.079422e-02  5.469967e-02  -1.726402e-02  5.330658e-02  -1.641606e-02  -2.301729e-02  7.985563e-03  -2.373047e-02  1.025584e-02  -2.508032e-02  1.175789e-02
1.185000e+00  1.151321e-02  -6.047584e-03  2.743926e-03  -8.047668e-04  2.391165e-03  -4.499248e-04  5.812220e-02  -2.000739e-02  5.611412e-02  -1.641367e-02  5.471070e-02  -1.551719e-02  -2.373164e-02  9.475944e-03  -2.446039e-02  1.170328e-02  -2.584709e-02  1.326283e-02
1.200000e+00  1.187731e-02  -6.151883e-03  2.892529e-03  -8.870187e-04  2.536408e-03  -5.226815e-04  5.946609e-02  -1.945980e-02  5.745365e-02  -1.580708e-02  5.604010e-02  -1.485867e-02  -2.420392e-02  1.098742e-02  -2.493602e-02  1.318889e-02  -2.635856e-02  1.480547e-02
1.215000e+00  1.221297e-02  -6.267739e-03  3.027504e-03  -9.658078e-04  2.669262e-03  -5.917971e-04  6.060791e-02  -1.895862e-02  5.856859e-02  -1.523856e-02  5.714557e-02  -1.423502e-02  -2.486917e-02  1.234081e-02  -2.557094e-02  1.448336e-02  -2.703326e-02  1.615253e-02
1.230000e+00  1.253535e-02  -6.396113e-03  3.159318e-03  -1.043563e-03  2.800324e-03  -6.599441e-04  6.155429e-02  -1.850525e-02  5.947412e-02  -1.473242e-02  5.803984e-02  -1.367491e-02  -2.598565e-02  1.333839e-02  -2.666310e-02  1.542346e-02  -2.817324e-02  1.713731e-02
1.245000e+00  1.283898e-02  -6.509107e-03  3.283349e-03  -1.094507e-03  2.924733e-03  -6.999124e-04  6.231294e-02  -1.810565e-02  6.017407e-02  -1.428967e-02  5.872792e-02  -1.317690e-02  -2.706931e-02  1.419056e-02  -2.775038e-02  1.622039e-02  -2.930900e-02  1.797824e-02
1.260000e+00  1.312436e-02  -6.639766e-03  3.399096e-03  -1.157539e-03  3.042615e-03  -7.540438e-04  6.303309e-02  -1.790014e-02  6.083365e-02  -1.406373e-02  5.938048e-02  -1.290262e-02  -2.805461e-02  1.471255e-02  -2.878668e-02  1.664303e-02  -3.039655e-02  1.842928e-02
1.275000e+00  1.340844e-02  -6.810171e-03  3.522609e-03  -1.242151e-03  3.169510e-03  -8.318383e-04  6.380095e-02  -1.790846e-02  6.154000e-02  -1.404917e-02  6.008234e-02  -1.284517e-02  -2.922512e-02  1.467464e-02  -2.998922e-02  1.648132e-02  -3.165585e-02  1.828077e-02
1.290000e+00  1.368457e-02  -6.985065e-03  3.644025e-03  -1.320575e-03  3.296049e-03  -9.031253e-04  6.443421e-02  -1.793891e-02  6.210737e-02  -1.405300e-02  6.064999e-02  -1.280658e-02  -3.063676e-02  1.421453e-02  -3.142428e-02  1.586640e-02  -3.315037e-02  1.767693e-02
1.305000e+00  1.393540e-02  -7.166876e-03  3.751159e-03  -1.398208e-03  3.409222e-03  -9.727179e-04  6.493301e-02  -1.798061e-02  6.253377e-02  -1.407892e-02  6.108007e-02  -1.278665e-02  -3.193285e-02  1.366568e-02  -3.273349e-02  1.513807e-02  -3.451254e-02  1.695453e-02
1.320000e+00  1.419079e-02  -7.350997e-03  3.869431e-03  -1.472687e-03  3.534130e-03  -1.039782e-03  6.554089e-02  -1.804510e-02  6.305800e-02  -1.412441e-02  6.160785e-02  -1.278884e-02  -3.295018e-02  1.301084e-02  -3.374032e-02  1.428985e-02  -3.557229e-02  1.610239e-02
1.335000e+00  1.444452e-02  -7.553626e-03  3.987218e-03  -1.558460e-03  3.657657e-03  -1.118790e-03  6.626974e-02  -1.838013e-02  6.370000e-02  -1.444637e-02  6.225410e-02  -1.307272e-02  -3.386430e-02  1.217504e-02  -3.466894e-02  1.326307e-02  -3.655456e-02  1.506396e-02
1.350000e+00  1.467281e-02  -7.776231e-03  4.092785e-03  -1.656617e-03  3.770497e-03  -1.211879e-03  6.700790e-02  -1.882015e-02  6.435540e-02  -1.487048e-02  6.292178e-02  -1.346233e-02  -3.476605e-02  1.128496e-02  -3.556010e-02  1.218208e-02  -3.748401e-02  1.396637e-02
1.365000e+00  1.489451e-02  -7.981158e-03  4.204761e-03  -1.738560e-03  3.890796e-03  -1.290202e-03  6.788693e-02  -1.917995e-02  6.515396e-02  -1.520549e-02  6.373592e-02  -1.376903e-02  -3.531668e-02  1.038429e-02  -3.604595e-02  1.105514e-02  -3.799264e-02  1.281948e-02
1.380000e+00  1.511513e-02  -8.183692e-03  4.320268e-03  -1.821872e-03  4.014923e-03  -1.371774e-03  6.905012e-02  -1.965844e-02  6.624986e-02  -1.566514e-02  6.485385e-02  -1.420707e-02  -3.576709e-02  9.440294e-03  -3.641926e-02  9.843039e-03  -3.837674e-02  1.157555e-02
1.395000e+00  1.532581e-02  -8.408425e-03  4.434796e-03  -1.923521e-03  4.137778e-03  -1.474315e-03  7.035477e-02  -2.037774e-02  6.750940e-02  -1.637053e-02  6.613665e-02  -1.490059e-02  -3.609498e-02  8.787953e-03  -3.668573e-02  8.909892e-03  -3.864778e-02  1.061353e-02
1.410000e+00  1.555459e-02  -8.643897e-03  4.572729e-03  -2.032060e-03  4.285237e-03  -1.584955e-03  7.191785e-02  -2.125436e-02  6.902990e-02  -1.723995e-02  6.768252e-02  -1.576433e-02  -3.616854e-02  8.459486e-03  -3.670913e-02  8.327604e-03  -3.866858e-02  1.000950e-02
1.425000e+00  1.577433e-02  -8.864552e-03  4.704571e-03  -2.129626e-03  4.426851e-03  -1.685218e-03  7.358809e-02  -2.212530e-02  7.065552e-02  -1.811305e-02  6.933735e-02  -1.663549e-02  -3.587684e-02  8.336677e-03  -3.637310e-02  7.991512e-03  -3.831973e-02  9.651605e-03
1.440000e+00  1.598533e-02  -9.081262e-03  4.841765e-03  -2.230395e-03  4.574927e-03  -1.789978e-03  7.535818e-02  -2.311826e-02  7.239215e-02  -1.911331e-02  7.110699e-02  -1.763964e-02  -3.534610e-02  8.113761e-03  -3.580501e-02  7.600674e-03  -3.773225e-02  9.234815e-03
1.455000e+00  1.620110e-02  -9.283541e-03  4.987499e-03  -2.321754e-03  4.732596e-03  -1.885799e-03  7.725142e-02  -2.411320e-02  7.424761e-02  -2.012007e-02  7.299769e-02  -1.865396e-02  -3.467006e-02  8.016794e-03  -3.508254e-02  7.375910e-03  -3.698518e-02  8.983568e-03
1.470000e+00  1.641015e-02  -9.472369e-03  5.134084e-03  -2.411257e-03  4.892100e-03  -1.981171e-03  7.911705e-02  -2.502564e-02  7.607817e-02  -2.103982e-02  7.486648e-02  -1.958495e-02  -3.394318e-02  8.135415e-03  -3.431562e-02  7.380331e-03  -3.619626e-02  8.964173e-03
1.485000e+00  1.663197e-02  -9.673845e-03  5.296364e-03  -2.516422e-03  5.068282e-03  -2.093248e-03  8.106644e-02  -2.600684e-02  7.799383e-02  -2.202017e-02  7.682379e-02  -2.057891e-02  -3.326386e-02  8.007049e-03  -3.360686e-02  7.180623e-03  -3.547006e-02  8.740867e-03
1.500000e+00  1.685629e-02  -9.885150e-03  5.461786e-03  -2.634400e-03  5.248034e-03  -2.218815e-03  8.317596e-02  -2.728060e-02  8.006711e-02  -2.330849e-02  7.894361e-02  -2.188573e-02  -3.246943e-02  7.848200e-03  -3.278462e-02  7.009627e-03  -3.462764e-02  8.543245e-03
1.515000e+00  1.707419e-02  -1.008768e-02  5.623456e-03  -2.751043e-03  5.424892e-03  -2.343785e-03  8.535466e-02  -2.868761e-02  8.222017e-02  -2.474703e-02  8.114584e-02  -2.334222e-02  -3.163864e-02  7.974735e-03  -3.193383e-02  7.165479e-03  -3.376080e-02  8.680037e-03
1.530000e+00  1.728657e-02  -1.026398e-02  5.784523e-03  -2.855137e-03  5.601945e-03  -2.456355e-03  8.755110e-02  -2.982219e-02  8.439321e-02  -2.593064e-02  8.336890e-02  -2.454114e-02  -3.071288e-02  8.160414e-03  -3.099946e-02  7.397749e-03  -3.281002e-02  8.898323e-03
1.545000e+00  1.748640e-02  -1.043375e-02  5.937361e-03  -2.966132e-03  5.771026e-03  -2.577308e-03  8.971075e-02  -3.085993e-02  8.653899e-02  -2.703484e-02  8.556536e-02  -2.566776e-02  -2.970222e-02  8.478873e-03  -3.002292e-02  7.789983e-03  -3.180820e-02  9.263196e-03
